URL,SEO Score,UI Score,UI Quality,Performance,Accessibility,Best Practices,Technology,Issues,Lead Score,Lead Reason,Pages Scanned,Emails,Phone Numbers,Contact Pages,Visual Score,Visual Quality,Visual Assessment,Visual Issues,Design Score,Design Issues,Brightness,Contrast,Color Diversity,Layout Complexity
https://m.economictimes.com/industry/auto/auto-news/indian-retail-auto-sales-jump-25-6-in-february-total-vehicle-retails-touch-24-lakh/articleshow/129065924.cms,N/A,45,Poor,N/A,N/A,N/A,"Foundation, jQuery","Mixed table + modern layout, Embedded iframe (old UX), Heavy inline styles (121 occurrences)",52,Low SEO visibility,1,N/A,N/A,0,91,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'Uses table-based layout']",100,['Uses table-based layout'],192,86,100,100
https://www.derrowshirkeyfordmontpelier.com/contact.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery","Deprecated <font> tags, Deprecated <center> tags, Heavy inline styles (50 occurrences), Not Mobile Friendly (No viewport)",70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,N/A,"888-460-2061, 419-485-3181, 567-277-1135, 419-630-6590",3,93,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'No viewport meta tag - not mobile responsive', 'Uses deprecated <font> tags with face attribute']",100,"['No viewport meta tag - not mobile responsive', 'Uses deprecated <font> tags with face attribute']",110,95,100,37
https://www.kiaofroundrock.com/contact.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery","Deprecated <font> tags, Embedded iframe (old UX), Heavy inline styles (43 occurrences), Not Mobile Friendly (No viewport)",70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,N/A,"737-270-8450, 737-270-8461, 737-270-8451",3,94,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'Very simple layout - may lack structure', 'No viewport meta tag - not mobile responsive']",100,['No viewport meta tag - not mobile responsive'],122,100,100,55
https://www.stevenscreekkia.com/contact.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery","Deprecated <font> tags, Embedded iframe (old UX), Not Mobile Friendly (No viewport)",70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,N/A,"408-886-7997, 408-790-8999, 408-533-1500",3,90,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'No viewport meta tag - not mobile responsive']",100,['No viewport meta tag - not mobile responsive'],231,63,92,100
https://www.myislandkia.com/contact.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery","Deprecated <font> tags, Heavy inline styles (51 occurrences), Not Mobile Friendly (No viewport)",70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,N/A,"718-727-7000, 3052566410, 929-543-5259, 6098821000, 844-667-4579",3,94,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'Very simple layout - may lack structure', 'No viewport meta tag - not mobile responsive']",100,['No viewport meta tag - not mobile responsive'],120,100,100,47
https://www.curryhondaga.com/contact.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery","Heavy inline styles (44 occurrences), Not Mobile Friendly (No viewport)",70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,N/A,"470-205-0438, 470-206-0716, 470-202-8326, 470-202-4370",3,93,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'No viewport meta tag - not mobile responsive']",100,['No viewport meta tag - not mobile responsive'],105,85,100,58
https://www.brandonkia.com/contact.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery","Deprecated <font> tags, Moderate inline styles (16 occurrences), Not Mobile Friendly (No viewport)",70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,"privacy@asburyauto.com, Gargiulo813-480-5608agargiulo@courtesycars.comCommunity",813-850-0547,3,91,Excellent,"Modern, professional design with best practices","['Very simple layout - may lack structure', 'No viewport meta tag - not mobile responsive']",100,['No viewport meta tag - not mobile responsive'],225,78,71,66
https://www.landroverclearlake.com/contact.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery","Embedded iframe (old UX), Heavy inline styles (50 occurrences), Not Mobile Friendly (No viewport)",70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,N/A,713-405-7150,3,94,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'No viewport meta tag - not mobile responsive']",100,['No viewport meta tag - not mobile responsive'],122,103,100,100
https://www.twinfallsdodge.com/contact.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery","Heavy inline styles (57 occurrences), Not Mobile Friendly (No viewport)",70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,N/A,"8666189554, 866-578-5290",3,94,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'No viewport meta tag - not mobile responsive']",100,['No viewport meta tag - not mobile responsive'],131,100,100,65
https://www.brunswickautomartchryslerjeep.com/contact/index.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery","Deprecated <font> tags, Moderate inline styles (26 occurrences), Not Mobile Friendly (No viewport)",70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,N/A,330-460-4568,3,90,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'No viewport meta tag - not mobile responsive', 'Uses deprecated <font> tags with face attribute']",99,"['No viewport meta tag - not mobile responsive', 'Uses deprecated <font> tags with face attribute']",210,84,100,94
